"Label (Grouping)","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Percent!!Estimate","Texas!!Percent!!Margin of Error","Texas!!Male!!Estimate","Texas!!Male!!Margin of Error","Texas!!Percent Male!!Estimate","Texas!!Percent Male!!Margin of Error","Texas!!Female!!Estimate","Texas!!Female!!Margin of Error","Texas!!Percent Female!!Estimate","Texas!!Percent Female!!Margin of Error","Harris County, Texas!!Total!!Estimate","Harris County, Texas!!Total!!Margin of Error","Harris County, Texas!!Percent!!Estimate","Harris County, Texas!!Percent!!Margin of Error","Harris County, Texas!!Male!!Estimate","Harris County, Texas!!Male!!Margin of Error","Harris County, Texas!!Percent Male!!Estimate","Harris County, Texas!!Percent Male!!Margin of Error","Harris County, Texas!!Female!!Estimate","Harris County, Texas!!Female!!Margin of Error","Harris County, Texas!!Percent Female!!Estimate","Harris County, Texas!!Percent Female!!Margin of Error"
"        Under 18 years","7,540,257","±3,765","24.7%","±0.1","3,854,974","±9,131","25.3%","±0.1","3,685,283","±8,682","24.1%","±0.1","1,239,208","*****","25.6%","*****","631,456","±281","26.3%","±0.1","607,752","±282","25.0%","±0.1"
"        18 to 24 years","2,933,597","±8,752","9.6%","±0.1","1,510,812","±5,448","9.9%","±0.1","1,422,785","±6,069","9.3%","±0.1","456,071","±401","9.4%","±0.1","230,660","±273","9.6%","±0.1","225,411","±280","9.3%","±0.1"
"        15 to 44 years","13,020,031","±11,348","42.7%","±0.1","6,633,048","±9,649","43.6%","±0.1","6,386,983","±9,957","41.8%","±0.1","2,116,450","±524","43.8%","±0.1","1,064,336","±225","44.3%","±0.1","1,052,114","±479","43.2%","±0.1"
"        16 years and over","23,857,262","±12,146","78.2%","±0.1","11,823,672","±10,679","77.7%","±0.1","12,033,590","±9,444","78.7%","±0.1","3,742,132","±4,670","77.4%","±0.1","1,843,501","±3,672","76.8%","±0.2","1,898,631","±3,766","78.0%","±0.2"
"        18 years and over","22,963,044","±3,765","75.3%","±0.1","11,358,170","±5,165","74.7%","±0.1","11,604,874","±4,799","75.9%","±0.1","3,595,917","*****","74.4%","*****","1,768,607","±278","73.7%","±0.1","1,827,310","±279","75.0%","±0.1"
"        21 years and over","21,706,890","±15,732","71.2%","±0.1","10,713,327","±11,577","70.4%","±0.1","10,993,563","±11,567","71.9%","±0.1","3,410,359","±4,662","70.5%","±0.1","1,674,798","±3,123","69.8%","±0.1","1,735,561","±3,886","71.3%","±0.2"
"        60 years and over","5,889,582","±18,806","19.3%","±0.1","2,725,878","±10,831","17.9%","±0.1","3,163,704","±13,142","20.7%","±0.1","831,097","±9,083","17.2%","±0.2","388,759","±5,884","16.2%","±0.2","442,338","±5,103","18.2%","±0.2"
"        62 years and over","5,200,569","±17,174","17.0%","±0.1","2,379,436","±11,161","15.6%","±0.1","2,821,133","±11,355","18.5%","±0.1","730,571","±7,578","15.1%","±0.2","336,590","±5,238","14.0%","±0.2","393,981","±4,579","16.2%","±0.2"
"        65 years and over","4,194,990","±5,923","13.8%","±0.1","1,897,132","±3,621","12.5%","±0.1","2,297,858","±4,388","15.0%","±0.1","585,586","±298","12.1%","±0.1","263,861","±295","11.0%","±0.1","321,725","±136","13.2%","±0.1"
"        75 years and over","1,646,944","±5,056","5.4%","±0.1","702,058","±3,199","4.6%","±0.1","944,886","±3,524","6.2%","±0.1","219,591","±130","4.5%","±0.1","92,345","±130","3.8%","±0.1","127,246","±4","5.2%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median age (years)","35.9","±0.1","(X)","(X)","35.1","±0.1","(X)","(X)","36.8","±0.2","(X)","(X)","34.8","±0.1","(X)","(X)","34.3","±0.2","(X)","(X)","35.4","±0.1","(X)","(X)"
"        Sex ratio (males per 100 females)","99.5","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","98.6","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","62.5","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","60.6","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","22.4","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.5","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","40.2","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","41.2","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
